"id","code","libelle"
"1","001","ACURA"
"2","002","AM GENERAL"
"3","003","AMERICAN IRONHORSE"
"4","004","APRILIA"
"5","005","ARCTIC CAT"
"6","006","ASTON MARTIN"
"7","007","ATK"
"8","008","AUDI"
"9","009","AVANTI"
"10","010","BENTLEY"
"11","011","BIG DOG"
"12","012","BIMOTA"
"13","013","BLUE BIRD"
"14","014","BMW"
"15","015","BOMBARDIER"
"16","016","BUELL"
"17","017","BUICK"
"18","018","CADILLAC"
"19","019","CANNONDALE"
"20","020","CHANCE COACH TRANSIT BUS"
"21","021","CHEVROLET"
"22","022","CHRYSLER"
"23","023","COBRA"
"24","024","DAEWOO"
"25","025","DODGE"
"26","026","DUCATI"
"27","027","E-TON"
"28","028","EL DORADO"
"29","029","FERRARI"
"30","030","FORD"
"31","031","FREIGHTLINER"
"32","032","GAS GAS"
"33","033","GILLIG"
"34","034","GMC"
"35","035","HARLEY DAVIDSON"
"36","036","HINO"
"37","037","HM"
"38","038","HONDA"
"39","039","HUSABERG"
"40","040","HUSQVARNA"
"41","041","HYUNDAI"
"42","042","INDIAN"
"43","043","INFINITI"
"44","044","INTERNATIONAL"
"45","045","ISUZU"
"46","046","JAGUAR"
"47","047","JEEP"
"48","048","KAWASAKI"
"49","049","KENWORTH"
"50","050","KIA"
"51","051","KTM"
"52","052","KYMCO"
"53","053","LAFORZA"
"54","054","LAMBORGHINI"
"55","055","LAND ROVER"
"56","056","LEXUS"
"57","057","LINCOLN"
"58","058","LOTUS"
"59","059","MACK"
"60","060","MAZDA"
"61","061","MERCEDES-BENZ"
"62","062","MERCURY"
"63","063","MITSUBISHI"
"64","064","MITSUBISHI FUSO"
"65","065","MOTO GUZZI"
"66","066","MOTOR COACH INDUSTRIES"
"67","067","MV AGUSTA"
"68","068","NEW FLYER"
"69","069","NISSAN"
"70","070","NOVA BUS CORPORATION"
"71","071","OLDSMOBILE"
"72","072","ORION BUS"
"73","073","OSHKOSH MOTOR TRUCK CO."
"74","074","OTTAWA"
"75","075","PANOZ"
"76","076","PETERBILT"
"77","077","PEUGEOT"
"78","078","PLYMOUTH"
"79","079","POLARIS"
"80","080","PONTIAC"
"81","081","PORSCHE"
"82","082","QVALE"
"83","083","RENAULT"
"84","084","ROLLS ROYCE"
"85","085","SAAB"
"86","086","SATURN"
"87","087","SEA-DOO"
"88","088","SEAT"
"89","089","SKI-DOO"
"90","090","STERLING"
"91","091","STERLING TRUCK"
"92","092","SUBARU"
"93","093","SUZUKI"
"94","094","TM"
"95","095","TOYOTA"
"96","096","TRIUMPH"
"97","097","UD"
"98","098","VICTORY"
"99","099","VOLKSWAGEN"
"100","100","VOLVO"
