id;numero_commande_vehicule;date_commande;est_livree
1;global;2020-02-05T06:39:41;true
2;backing up;2020-02-05T11:14:12;false
3;Salad Beauty aggregate;2020-02-05T10:02:11;true
4;Reactive;2020-02-05T02:15:18;true
5;Peso Uruguayo Uruguay Peso en Unidades Indexadas protocol Tactics;2020-02-04T12:52:04;false
6;haptic;2020-02-04T18:13:19;true
7;Grocery Seychelles;2020-02-04T16:55:33;true
8;capability Wyoming;2020-02-04T15:46:00;false
9;integrated Home Loan Account;2020-02-05T02:18:54;false
10;lavender;2020-02-04T13:33:08;false
