id;numero_commande;date_commande;quantite_commande;est_deliver;est_transiter
1;transmitting Cheese;2020-02-19T23:03:55;47354;true;true
2;panel invoice;2020-02-19T14:44:00;37912;false;false
3;Infrastructure;2020-02-19T19:56:00;62671;true;true
4;Quality invoice application;2020-02-20T02:06:06;68857;false;true
5;Handcrafted Metal Sausages Louisiana haptic;2020-02-20T08:05:28;31405;true;true
6;TCP;2020-02-20T02:53:47;38132;true;true
7;Cyprus internet solution;2020-02-20T03:08:12;61357;false;true
8;Forward zero defect;2020-02-20T08:36:37;74142;true;true
9;AI;2020-02-19T12:29:37;15101;false;false
10;Licensed Investment Account;2020-02-20T01:07:34;7509;false;true
