id;iso;name;nicename;iso_3;numcode;phonecode
1;Way Administrator interactive;analyzer;Handcrafted;extensible orchestrate transmitting;66109;26615
2;synergies;Clothing Saint Pierre and Miquelon;Usability Harbors;Fresh;61555;68845
3;Corporate killer Automotive;generating Buckinghamshire;Books;Credit Card Account matrices Australia;94376;86593
4;Bedfordshire;Assurance indigo;encompassing Incredible Soft Mouse Streets;Implementation;51616;65838
5;multi-state Awesome Metal Chair Generic Frozen Gloves;Senior protocol;circuit Functionality;Auto Loan Account Automated;7127;22289
6;Assistant Maldives Sleek;transmitting Cambridgeshire Assurance;black Fish;North Korean Won;1413;47675
7;Plastic Maryland;bluetooth Licensed Wooden Bike;payment matrix;virtual;42533;95843
8;Computers Realigned;challenge Belarussian Ruble;Product indexing;Cotton incentivize Horizontal;5210;91737
9;Dominica Solutions;green;eyeballs orange;Fresh streamline Handmade;32558;85071
10;Legacy;Tools Svalbard & Jan Mayen Islands Mauritius;neural;overriding Western Sahara Specialist;96892;62311
