id;chassis;marque;model;created_at
1;database;Sleek Concrete Hat Sleek;Bedfordshire Program;2020-11-25T23:47:54
2;XML Architect Fiji;withdrawal Pakistan Product;multi-byte Wooden calculate;2020-11-26T09:37:36
3;withdrawal User-centric Licensed Concrete Towels;incubate Planner;Investment Account index Beauty;2020-11-25T21:36:25
4;Savings Account Buckinghamshire;e-business Hryvnia;Auto Loan Account;2020-11-26T10:42:09
5;Car Springs;Fantastic Steel Table overriding synthesizing;copying Alley;2020-11-26T14:11:37
6;yellow;Avon;customer loyalty Money Market Account generate;2020-11-26T07:12:49
7;invoice national;Cotton West Virginia;Macedonia;2020-11-26T14:25:51
8;Accounts Investment Account;Soft Checking Account tan;withdrawal Gloves;2020-11-25T17:57:19
9;Car;Towels gold;Internal wireless capacitor;2020-11-25T22:10:21
10;Avon;Corporate Money Market Account;Specialist;2020-11-26T06:48:49
